LABELS
    #use this template to change the leaf labels, or define/change the internal node names (displayed in mouseover popups)

    #lines starting with a hash are comments and ignored during parsing

    #=================================================================#
    #                    MANDATORY SETTINGS                           #
    #=================================================================#
    #select the separator which is used to delimit the data below (TAB,SPACE or COMMA).This separator must be used throughout this file (except in the SEPARATOR line, which uses space).

    #SEPARATOR TAB
    #SEPARATOR SPACE
    SEPARATOR COMMA

    #Internal tree nodes can be specified using IDs directly, or using the 'last common ancestor' method described in iTOL help pages
    #=================================================================#
    #       Actual data follows after the "DATA" keyword              #
    #=================================================================#
    DATA
    #NODE_ID,LABEL
ott568572,Turdus merula
ott431676,Turdus menachensis
ott906449,Turdus iliacus
ott1058856,Turdus plebejus
ott54202,Turdus roehli
ott54204,Turdus helleri
ott96374,Turdus abyssinicus
ott1082345,Turdus philomelos
ott1002259,Turdus viscivorus
ott168078,Turdus eunomus
ott957473,Psophocichla litsitsirupa
ott1019250,Turdus sanchezorum
ott3598812,Turdus subalaris
ott233446,Zoothera cinerea
ott520367,Zoothera erythronota
ott4947556,Geokichla mendeni
ott615346,Zoothera peronii
ott1018617,Zoothera dohertyi
ott1018618,Geokichla interpres
ott520360,Zoothera schistacea
ott1046626,Geokichla citrina
ott492723,Zoothera spiloptera
ott1098264,Zoothera princei
ott534432,Zoothera camaronensis
ott1008491,Zoothera piaggiae
ott1018616,Zoothera oberlaenderi
ott1046633,Zoothera crossleyi
ott1008493,Zoothera gurneyi
ott1018619,Zoothera guttata
ott492722,Zoothera wardii
ott640617,Geokichla sibirica
ott4947555,Geokichla leucolaema
ott4947557,Geokichla joiceyi
ott4947565,Geokichla dumasi
ott401023,Cochoa viridis
ott3598146,Cochoa beccarii
ott3598147,Cochoa azurea
ott3598148,Cochoa purpurea
ott994021,Chlamydochaera jefferyi
ott482253,Zoothera talaseae
ott482255,Zoothera heinei
ott896889,Zoothera lunulata
ott653917,Zoothera dauma
ott482259,Zoothera andromedae
ott482263,Zoothera marginata
ott937860,Zoothera monticola
ott482257,Zoothera dixoni
ott482248,Zoothera mollissima
ott520366,Zoothera aurea
ott551578,Zoothera pinicola
ott3599359,Zoothera heinrichi
ott4947554,Zoothera margaretae
ott4947559,Zoothera turipavae
ott4947561,Zoothera machiki
ott4947566,Zoothera everetti
ott4947569,Zoothera major
ott6154508,Zoothera atrigena
ott6154509,Zoothera griseiceps
ott6154512,Zoothera salimalii
ott252687,Catharus mexicanus
ott252694,Catharus aurantiirostris
ott252698,Catharus fuscater
ott252695,Catharus dryas
ott7068690,Catharus dryas maculatus
ott252688,Catharus occidentalis
ott96280,Catharus guttatus
ott939720,Catharus gracilirostris
ott545760,Catharus bicknelli
ott545761,Catharus fuscescens
ott920831,Catharus minimus
ott939695,Catharus frantzii
ott489372,Catharus ustulatus
ott288678,Entomodestes leucotis
ott401039,Entomodestes coracinus
ott468127,Cichlopsis leucogenys
ott7662448,Cichlopsis gularis
ott712913,Hylocichla mustelina
ott775708,Ixoreus naevius
ott431648,Sialia currucoides
ott1044558,Sialia mexicana
ott775715,Sialia sialis
ott468120,Myadestes townsendi
ott786482,Myadestes obscurus
ott468121,Myadestes unicolor
ott786479,Myadestes occidentalis
ott406158,Myadestes coloratus
ott513454,Myadestes melanops
ott537407,Myadestes ralloides
ott583026,Myadestes genibarbis
ott786483,Myadestes elisabeth
ott3598822,Myadestes lanaiensis
ott537533,Neocossyphus rufus
ott1082354,Stizorhina fraseri
ott1082362,Stizorhina finschi
ott930890,Neocossyphus poensis
ott3599696,Grandala coelicolor
ott3599807,Cataponera turdoides
ott2175,Lamprotornis bicolor
ott2177,Lamprotornis albicapillus
ott793165,Lamprotornis fischeri
ott793156,Lamprotornis pulcher
ott968667,Lamprotornis superbus
ott793151,Lamprotornis regius
ott793168,Lamprotornis ornatus
ott968668,Lamprotornis splendidus
ott355767,Lamprotornis purpureus
ott626442,Lamprotornis nitens
ott981200,Lamprotornis chalcurus
ott542005,Lamprotornis iris
ott891259,Lamprotornis chalybaeus
ott981195,Lamprotornis chloropterus
ott981198,Lamprotornis acuticaudus
ott218736,Lamprotornis unicolor
ott793167,Lamprotornis mevesii
ott906566,Lamprotornis caudatus
ott945657,Lamprotornis purpuroptera
ott981199,Lamprotornis australis
ott355759,Lamprotornis shelleyi
ott793166,Lamprotornis hildebrandti
ott793157,Lamprotornis purpureiceps
ott981196,Lamprotornis cupreocauda
ott885156,Notopholia corusca
ott243246,Poeoptera stuhlmanni
ott661304,Poeoptera kenricki
ott619186,Poeoptera lugubris
ott945894,Pholia sharpii
ott269657,Speculipastor bicolor
ott967023,Grafisia torquata
ott401019,Neocichla gutturalis
ott841164,Saroglossa spiloptera
ott204623,Onychognathus albirostris
ott218722,Onychognathus tristramii
ott218731,Onychognathus blythii
ott218742,Onychognathus frater
ott218739,Onychognathus salvadorii
ott218721,Onychognathus walleri
ott218741,Onychognathus fulgidus
ott366480,Onychognathus morio
ott218740,Onychognathus nabouroup
ott366481,Onychognathus tenuirostris
ott3598588,Onychognathus neumanni
ott981204,Cinnyricinclus femoralis
ott841165,Hartlaubius auratus
ott891274,Cinnyricinclus leucogaster
ott2224,Sturnia sinensis
ott844094,Sturnia malabarica
ott848364,Sturnia erythropygia
ott844099,Sturnia pagodarum
ott863246,Leucopsar rothschildi
ott80701,Acridotheres tristis
ott405017,Acridotheres ginginianus
ott405018,Acridotheres cristatellus
ott405024,Acridotheres grandis
ott544910,Acridotheres albocinctus
ott405023,Acridotheres javanicus
ott544911,Acridotheres cinereus
ott595025,Acridotheres fuscus
ott848363,Sturnus burmannicus
ott848365,Acridotheres melanopterus
ott499641,Sturnus cineraceus
ott661325,Sturnus sericeus
ott366471,Sturnus nigricollis
ott844085,Sturnus contra
ott844089,Sturnus philippensis
ott848366,Sturnus sturninus
ott79250,Creatophora cinerea
ott844091,Sturnus roseus
ott366470,Sturnus unicolor
ott565813,Sturnus vulgaris
ott80418,Gracula religiosa
ott3598581,Gracula indica
ott981197,Gracula ptilogenys
ott3598582,Gracula robusta
ott602124,Ampeliceps coronatus
ott218735,Mino kreffti
ott921345,Mino dumontii
ott968670,Mino anais
ott506262,Streptocitta albicollis
ott3598586,Streptocitta albertinae
ott619197,Sarcops calvus
ott269644,Basilornis celebensis
ott3598583,Basilornis corythaix
ott3598584,Basilornis galeatus
ott295848,Aplonis metallica
ott981202,Aplonis pelzelni
ott405022,Aplonis brunneicapillus
ott295849,Aplonis grandis
ott316270,Aplonis panayensis
ott981201,Aplonis minor
ott405021,Aplonis cantoroides
ott405015,Aplonis insularis
ott405016,Aplonis cinerascens
ott891275,Aplonis tabuensis
ott3598563,Aplonis feadensis
ott3598564,Aplonis magna
ott3598566,Aplonis mystacea
ott3598567,Aplonis mysolensis
ott3598569,Aplonis atrifusca
ott3598571,Aplonis zelandica
ott3598572,Aplonis santovestris
ott3598573,Aplonis opaca
ott3598574,Aplonis crassa
ott3598575,Aplonis striata
ott3598576,Aplonis dichroa
ott591052,Enodes erythrophris
ott600906,Scissirostrum dubium
ott482511,Rhabdornis inornatus
ott891255,Rhabdornis mystacalis
ott3598064,Rhabdornis grandis
ott6153892,Rhabdornis rabori
ott259082,Oreoscoptes montanus
ott325207,Mimus saturninus
ott892278,Mimus dorsalis
ott1083044,Mimus triurus
ott959453,Mimus patagonicus
