LABELS
    #use this template to change the leaf labels, or define/change the internal node names (displayed in mouseover popups)

    #lines starting with a hash are comments and ignored during parsing

    #=================================================================#
    #                    MANDATORY SETTINGS                           #
    #=================================================================#
    #select the separator which is used to delimit the data below (TAB,SPACE or COMMA).This separator must be used throughout this file (except in the SEPARATOR line, which uses space).

    #SEPARATOR TAB
    #SEPARATOR SPACE
    SEPARATOR COMMA

    #Internal tree nodes can be specified using IDs directly, or using the 'last common ancestor' method described in iTOL help pages
    #=================================================================#
    #       Actual data follows after the "DATA" keyword              #
    #=================================================================#
    DATA
    #NODE_ID,LABEL
ott3610279,Hadromys yunnanensis
ott3610528,Hadromys humei
ott3610360,Vernaya fulva
ott3610609,Haeromys margarettae
ott3611193,Haeromys minahassae
ott3611060,Anonymomys mindorensis
ott283439,Saxatilomys paulinae
ott631025,Crateromys heaneyi
ott3608743,Crateromys australis
ott3608744,Crateromys schadenbergi
ott3608745,Crateromys paulus
ott1050972,Batomys granti
ott931919,Batomys salomonseni
ott3608615,Batomys russatus
ott3608616,Batomys dentatus
ott7067412,Batomys hamiguitan
ott7067413,Batomys uragon
ott683562,Carpomys phaeurus
ott3608738,Carpomys melanurus
ott1018294,Phloeomys cumingi
ott3608726,Phloeomys pallidus
ott4117410,Tonkinomys daovantieni
ott5266716,Halmaheramys bokimekot
ott5819792,Waiomys mamasae
ott5839492,Hyorhinomys stuempkei
ott5852651,Paucidentomys vermidax
ott6144936,Musseromys anacuao
ott6144937,Musseromys beneficus
ott6144938,Musseromys gulantang
ott6144939,Musseromys inopinatus
ott19510,Gerbilliscus vicinus
ott185333,Gerbilliscus gambianus
ott240714,Gerbilliscus guineae
ott240719,Gerbilliscus kempi
ott240724,Gerbilliscus leucogaster
ott240735,Gerbilliscus validus
ott630494,Gerbilliscus afra
ott630497,Gerbilliscus brantsii
ott504758,Gerbillurus tytonis
ott818709,Gerbillurus setzeri
ott240728,Gerbilliscus robustus
ott240732,Gerbilliscus nigricaudus
ott3608905,Gerbilliscus boehmi
ott3608907,Gerbilliscus inclusus
ott3608908,Gerbilliscus phillipsi
ott818707,Tatera indica
ott981029,Desmodillus auricularis
ott79088,Meriones tamariscinus
ott404790,Meriones libycus
ott404784,Meriones rex
ott404788,Meriones crassus
ott197974,Meriones chengi
ott473225,Meriones meridianus
ott764841,Meriones unguiculatus
ott600710,Meriones shawi
ott89265,Brachiones przewalskii
ott504792,Rhombomys opimus
ott270510,Psammomys vexillaris
ott674914,Psammomys obesus
ott438468,Meriones tristrami
ott3608988,Meriones zarudnyi
ott3608989,Meriones arimalius
ott3608990,Meriones sacramenti
ott3608991,Meriones dahli
ott3608992,Meriones vinogradovi
ott3608993,Meriones persicus
ott3608994,Meriones hurrianae
ott3608995,Meriones grandis
ott89162,Dipodillus campestris
ott438464,Dipodillus dasyurus
ott809723,Dipodillus simoni
ott3608909,Dipodillus harwoodi
ott3608910,Dipodillus bottai
ott3608911,Dipodillus mackilligini
ott3608912,Dipodillus jamesi
ott3608913,Dipodillus somalicus
ott3608915,Dipodillus stigmonyx
ott3608916,Dipodillus lowei
ott3608917,Dipodillus maghrebi
ott3608918,Dipodillus rupicola
ott404779,Gerbillus gerbillus
ott404782,Gerbillus pyramidum
ott426509,Gerbillus nigeriae
ott453946,Gerbillus latastei
ott809720,Gerbillus tarabuli
ott135787,Gerbillus hesperinus
ott263040,Gerbillus henleyi
ott302093,Gerbillus poecilops
ott404777,Gerbillus nanus
ott549416,Gerbillus occiduus
ott3608936,Gerbillus rosalinda
ott3608941,Gerbillus syrticus
ott3608942,Gerbillus garamantis
ott3608943,Gerbillus nancillus
ott3608944,Gerbillus watersi
ott3608946,Gerbillus mauritaniae
ott3608948,Gerbillus famulus
ott3608949,Gerbillus amoenus
ott3608952,Gerbillus grobbeni
ott3608957,Gerbillus hoogstraali
ott3608958,Gerbillus mesopotamiae
ott3608959,Gerbillus floweri
ott3608960,Gerbillus principulus
ott3608961,Gerbillus muriculus
ott3608965,Gerbillus burtoni
ott3608968,Gerbillus vivax
ott3608970,Gerbillus dunni
ott3608971,Gerbillus brockmani
ott3608976,Gerbillus aquilus
ott3608985,Gerbillus cheesmani
ott3608987,Gerbillus acticola
ott3608937,Gerbillus andersoni
ott404786,Sekeetamys calurus
ott342266,Taterillus emini
ott3608931,Taterillus lacustris
ott3608932,Taterillus tranieri
ott3608933,Taterillus congicus
ott3608934,Taterillus petteri
ott404792,Taterillus pygargus
ott404794,Taterillus arenarius
ott981026,Taterillus gracilis
ott981023,Desmodilliscus braueri
ott981032,Pachyuromys duprasi
ott3610375,Ammodillus imbellis
ott3611191,Microdillus peeli
ott154782,Lophuromys woosnami
ott159153,Lophuromys flavopunctatus
ott3608592,Lophuromys zena
ott669916,Lophuromys melanonyx
ott3608596,Lophuromys brunneus
