LABELS
    #use this template to change the leaf labels, or define/change the internal node names (displayed in mouseover popups)

    #lines starting with a hash are comments and ignored during parsing

    #=================================================================#
    #                    MANDATORY SETTINGS                           #
    #=================================================================#
    #select the separator which is used to delimit the data below (TAB,SPACE or COMMA).This separator must be used throughout this file (except in the SEPARATOR line, which uses space).

    #SEPARATOR TAB
    #SEPARATOR SPACE
    SEPARATOR COMMA

    #Internal tree nodes can be specified using IDs directly, or using the 'last common ancestor' method described in iTOL help pages
    #=================================================================#
    #       Actual data follows after the "DATA" keyword              #
    #=================================================================#
    DATA
    #NODE_ID,LABEL
ott85987,Ephedra major
ott682635,Ephedra major subsp. procera
ott878619,Ephedra equisetina
ott285360,Ephedra gerardiana
ott159204,Ephedra somalensis
ott662665,Ephedra pachyclada
ott202436,Ephedra minuta
ott563917,Ephedra likiangensis
ott54056,Ephedra pedunculata
ott54058,Ephedra nevadensis
ott159201,Ephedra funerea
ott467864,Ephedra aspera
ott626671,Ephedra fasciculata
ott626702,Ephedra coryi
ott983639,Ephedra antisyphilitica
ott626703,Ephedra cutleri
ott717724,Ephedra torreyana
ott78159,Ephedra trifurca
ott666125,Ephedra californica
ott117279,Ephedra viridis
ott682633,Ephedra compacta
ott682639,Ephedra triandra
ott159200,Ephedra rupestris
ott107385,Ephedra americana
ott628861,Ephedra chilensis
ott682638,Ephedra multiflora
ott682640,Ephedra boelckei
ott948049,Ephedra ochreata
ott202439,Ephedra frustillata
ott682641,Ephedra breana
ott629992,Ephedra laristanica
ott703034,Ephedra foliata
ott393199,Ephedra milleri
ott185192,Ephedra fragilis
ott626696,Ephedra aphylla
ott99235,Ephedra altissima
ott703035,Ephedra alata
ott373953,Ephedra pseudodistachya
ott505506,Ephedra dahurica
ott689494,Ephedra foeminea
ott793895,Ephedra tilhoana
ott1030660,Ephedra botschantzevii
ott4001584,Ephedra vvedenskyi
ott4001585,Ephedra pentandra
ott4001587,Ephedra oxyphylla
ott4001589,Ephedra rituensis
ott4001592,Ephedra trifurcata
ott4001593,Ephedra dawuensis
ott4001594,Ephedra brevifoliata
ott4001595,Ephedra holoptera
ott4001597,Ephedra aurantiaca
ott4001598,Ephedra sumlingensis
ott6011341,Ephedra kardangensis
ott6011342,Ephedra khurikensis
ott6011346,Ephedra tweedieana
ott61776,Pinus nigra
ott81207,Pinus resinosa
ott568619,Pinus sylvestris
ott327708,Pinus densiflora
ott1069751,Pinus mugo
ott516531,Pinus mugo subsp. uncinata
ott217130,Pinus taiwanensis
ott227575,Pinus densata
ott212465,Pinus kesiya
ott714289,Pinus yunnanensis
ott830802,Pinus hwangshanensis
ott714292,Pinus tabuliformis
ott683296,Pinus tabuliformis var. henryi
ott1075728,Pinus thunbergii
ott263471,Pinus tropicalis
ott714296,Pinus massoniana
ott782828,Pinus luchuensis
ott837877,Pinus merkusii
ott995738,Pinus latteri
ott97777,Pinus canariensis
ott263463,Pinus roxburghii
ott568639,Pinus pinea
ott837883,Pinus pinaster
ott1061362,Pinus brutia
ott212456,Pinus halepensis
ott830812,Pinus heldreichii
ott104512,Pinus praetermissa
ott104516,Pinus glabra
ott636911,Pinus herrerae
ott212461,Pinus echinata
ott351667,Pinus palustris
ott635127,Pinus occidentalis
ott592145,Pinus serotina
ott636901,Pinus pungens
ott1075736,Pinus taeda
ott636907,Pinus rigida
ott245809,Pinus elliottii
ott636905,Pinus oocarpa
ott635142,Pinus pringlei
ott854302,Pinus lawsonii
ott166143,Pinus cubensis
ott212480,Pinus lumholtzii
ott212477,Pinus leiophylla
ott635125,Pinus greggii
ott263469,Pinus teocote
ott837894,Pinus patula
ott636909,Pinus muricata
ott786792,Pinus attenuata
ott568644,Pinus radiata
ott111015,Pinus durangensis
ott736900,Pinus ponderosa
ott212459,Pinus douglasiana
ott111011,Pinus arizonica
ott736886,Pinus jeffreyi
ott635129,Pinus devoniana
ott736889,Pinus engelmannii
ott113478,Pinus sabiniana
ott635132,Pinus torreyana
ott1075721,Pinus coulteri
ott212471,Pinus hartwegii
ott901392,Pinus pseudostrobus
ott837875,Pinus montezumae
ott217118,Pinus clausa
ott263433,Pinus virginiana
ott1075733,Pinus banksiana
ott1044477,Pinus contorta
ott217111,Pinus maximinoi
ott975644,Pinus jaliscana
ott988271,Pinus tecunumanii
ott1070115,Pinus luzmariae
ott5233685,Pinus georginae
ott61771,Pinus cembra
ott568632,Pinus wallichiana
ott814113,Pinus sibirica
ott830806,Pinus koraiensis
ott113476,Pinus bhutanica
