LABELS
    #use this template to change the leaf labels, or define/change the internal node names (displayed in mouseover popups)

    #lines starting with a hash are comments and ignored during parsing

    #=================================================================#
    #                    MANDATORY SETTINGS                           #
    #=================================================================#
    #select the separator which is used to delimit the data below (TAB,SPACE or COMMA).This separator must be used throughout this file (except in the SEPARATOR line, which uses space).

    #SEPARATOR TAB
    #SEPARATOR SPACE
    SEPARATOR COMMA

    #Internal tree nodes can be specified using IDs directly, or using the 'last common ancestor' method described in iTOL help pages
    #=================================================================#
    #       Actual data follows after the "DATA" keyword              #
    #=================================================================#
    DATA
    #NODE_ID,LABEL
ott300630,Lampropeltis alterna
ott815155,Lampropeltis triangulum
ott456246,Lampropeltis pyromelana
ott166128,Lampropeltis zonata
ott300621,Lampropeltis ruthveni
ott456245,Lampropeltis mexicana
ott933810,Lampropeltis elapsoides
ott867367,Lampropeltis webbi
ott100850,Lampropeltis annulata
ott100857,Lampropeltis abnorma
ott300629,Lampropeltis calligaster
ott519560,Lampropeltis polyzona
ott675029,Lampropeltis knoblochi
ott764226,Lampropeltis gentilis
ott5341356,Lampropeltis micropholis
ott1032598,Cemophora coccinea
ott1032602,Arizona elegans
ott7069503,Arizona pacata
ott859560,Pseudelaphe flavirufa
ott6157280,Pseudelaphe phaescens
ott616201,Rhinocheilus lecontei
ott4121397,Rhinocheilus etheridgei
ott301959,Bogertophis subocularis
ott1032600,Bogertophis rosaliae
ott234912,Senticolis triaspis
ott859562,Coronella austriaca
ott545496,Oocatochus rufodorsatus
ott1020856,Coronella girondica
ott4121218,Coronella brachyura
ott334719,Elaphe anomala
ott334721,Elaphe hodgsoni
ott545484,Elaphe moellendorffi
ott981438,Elaphe cantoris
ott1021362,Elaphe taeniura
ott460695,Elaphe zoigeensis
ott207180,Oreocryptophis porphyraceus
ott430823,Archelaphe bella
ott334726,Euprepiophis conspicillata
ott545487,Euprepiophis mandarinus
ott4121470,Euprepiophis perlacea
ott6526,Ptyas mucosa
ott545483,Ptyas korros
ott487514,Ptyas major
ott931757,Ptyas dhumnades
ott4121178,Ptyas luzonensis
ott4121180,Ptyas dipsas
